m,q,T,c,eta_opt,kappa_opt,R_bar,info_proc_cap
2,0.5,3,0.095,3.811678137,0.67506058,0.776438317,0.776438317
2,0.5,3,0.105,3.575242306,0.588190712,0.744206586,0.744206586
2,0.5,3,0.1,3.674869077,0.629563409,0.758653279,0.758653279
2,0.6,3,0.095,3.787394498,0.654118757,0.773132361,0.773132361
2,0.6,3,0.105,3.556743835,0.611561177,0.745651446,0.745651446
2,0.6,3,0.1,3.656221998,0.619051462,0.756811898,0.756811898
2,0.775,3,0.095,3.711811182,0.701240982,0.777495201,0.777495201
2,0.775,3,0.105,3.488859144,0.635153912,0.748577215,0.748577215
2,0.775,3,0.1,3.557166322,0.670460659,0.759106507,0.759106507
2,0.7,3,0.095,3.754665049,0.676980926,0.77521978,0.77521978
2,0.7,3,0.105,3.544782525,0.643530258,0.750905545,0.750905545
2,0.85,3,0.095,3.658972296,0.713459616,0.780121556,0.780121556
2,0.85,3,0.105,3.483303159,0.666156936,0.757664486,0.757664486
2,0.85,3,0.1,3.551333489,0.693533049,0.767587305,0.767587305
2,0.925,3,0.095,3.521335055,0.774777236,0.783446494,0.783446494
2,0.925,3,0.105,3.338741808,0.735779554,0.761328934,0.761328934
2,0.925,3,0.1,3.46046313,0.745516413,0.774763021,0.774763021
2,1,3,0.095,3.535579826,0.836324113,0.807810837,0.807810837
2,1,3,0.105,3.347033813,0.765822143,0.781709805,0.781709805
2,1,3,0.1,3.431998288,0.821423693,0.796074983,0.796074983
3,0.3334,3,0.095,3.891580378,0.509981341,0.582149545,0.922685199
3,0.3334,3,0.105,2.728715264,0.000344864,0.418793665,0.663772254
3,0.3334,3,0.1,2.847500564,8.38E-07,0.430811942,0.682820772
3,0.42,3,0.095,3.973292517,0.528964174,0.592441869,0.938998147
3,0.42,3,0.1,2.922861452,0.000135002,0.438417211,0.694874839
3,0.5,3,0.095,4.035926279,0.58270498,0.605554244,0.959780769
3,0.5,3,0.105,2.689209597,7.23E-06,0.41448789,0.656947763
3,0.5,3,0.1,2.881206782,6.76E-05,0.434295893,0.688342705
3,0.6,3,0.095,4.046242153,0.644507511,0.617005447,0.977930497
3,0.6,3,0.105,2.624117713,0.000119613,0.407613332,0.646051846
3,0.6,3,0.1,3.70115631,0.5281974,0.57192284,0.906476254
3,0.775,3,0.095,4.221126515,0.892075211,0.672612092,1.066064943
3,0.775,3,0.105,3.532823845,0.604534828,0.574924851,0.91123433
3,0.775,3,0.1,3.918275868,0.755837807,0.630053828,0.998611691
3,0.7,3,0.095,4.131240783,0.835594798,0.650714095,1.031357439
3,0.7,3,0.105,3.401623662,0.465197077,0.540410302,0.856530064
3,0.7,3,0.1,3.861998201,0.673337314,0.608950841,0.965164247
3,0.85,3,0.105,3.731722337,0.74834607,0.620448887,0.983388219
3,0.85,3,0.1,3.88981023,0.869567721,0.649124598,1.028838146
3,0.925,3,0.095,4.086381689,1.050959973,0.701246754,1.111449809
3,0.925,3,0.105,3.712154055,0.810506293,0.639342705,1.013334212
3,0.925,3,0.1,3.871636716,0.975772234,0.673128314,1.066883136
3,1,3,0.105,3.924036113,1.043350728,0.702903405,1.114075539
3,1,3,0.1,4.01164063,1.065152755,0.714517241,1.132483033
4,0.25,3,0.095,2.50431345,2.67E-06,0.303356833,0.606713666
4,0.25,3,0.105,1.888618046,3.94E-06,0.241527756,0.483055512
4,0.25,3,0.1,2.236315143,8.22E-05,0.277187978,0.554375955
4,0.29,3,0.095,2.539864769,0.000106329,0.306789854,0.613579709
4,0.29,3,0.105,1.891391921,6.79E-05,0.241851373,0.483702745
4,0.3334,3,0.095,2.521825123,6.95E-07,0.305009652,0.610019304
4,0.3334,3,0.105,1.9271597,1.57E-07,0.245630809,0.491261618
4,0.3334,3,0.1,2.206256325,0.000107424,0.274241054,0.548482109
4,0.42,3,0.095,2.526342839,2.28E-05,0.305457916,0.610915831
4,0.42,3,0.105,1.832485085,3.41E-05,0.235663292,0.471326583
4,0.5,3,0.095,2.525989423,3.40E-05,0.305494318,0.610988635
4,0.5,3,0.105,1.946867816,8.93E-06,0.247747111,0.495494222
4,0.6,3,0.095,2.475147634,0.00024412,0.30083566,0.601671319
4,0.6,3,0.105,1.884938212,0.001214296,0.241173661,0.482347322
4,0.775,3,0.095,3.828212846,0.727157392,0.502951586,1.005903172
4,0.775,3,0.105,1.890020615,0.002407151,0.24192916,0.483858321
4,0.7,3,0.105,1.973155763,0.000167861,0.250170608,0.500341217
4,0.7,3,0.1,2.194868868,0.000219713,0.272932112,0.545864223
4,0.85,3,0.095,3.925765988,0.847995378,0.533950796,1.067901593
4,0.85,3,0.105,1.850652195,0.0001156,0.237600243,0.475200487
4,0.85,3,0.1,3.554634276,0.648048348,0.478220581,0.956441162
4,0.925,3,0.095,4.099480067,0.928476482,0.57254119,1.14508238
4,0.925,3,0.105,3.605170664,0.71948903,0.502951992,1.005903985
4,0.925,3,0.1,3.848997471,0.855913405,0.541319681,1.082639362
4,1,3,0.095,4.423360904,1.179911516,0.643471469,1.286942937
4,1,3,0.105,4.040331643,0.941918941,0.581241904,1.162483808
4,1,3,0.1,4.301184154,1.040836804,0.617927397,1.235854794
2,0.5,3,0.09,3.907858172,0.68512239,0.786167665,0.786167665
2,0.5,3,0.115,3.326418736,0.478702731,0.704677587,0.704677587
2,0.5,3,0.11,3.515359287,0.549596573,0.733810266,0.733810266
2,0.5,3,0.12,2.560374306,1.20E-05,0.56134944,0.56134944
2,0.6,3,0.09,3.893871892,0.67588968,0.784811249,0.784811249
2,0.6,3,0.115,3.299987822,0.490387213,0.704108376,0.704108376
2,0.6,3,0.11,3.463232045,0.558991792,0.730089922,0.730089922
2,0.6,3,0.12,2.609506174,0.000844668,0.567257023,0.567257023
2,0.775,3,0.09,3.816754946,0.732486475,0.789886636,0.789886636
2,0.775,3,0.115,3.324932227,0.555578282,0.721831497,0.721831497
2,0.775,3,0.11,3.384314679,0.605664811,0.734035968,0.734035968
2,0.775,3,0.12,3.181749518,0.500713485,0.698405091,0.698405091
2,0.7,3,0.09,3.854222095,0.712537471,0.787877571,0.787877571
2,0.7,3,0.115,3.297057302,0.543277123,0.712878448,0.712878448
2,0.7,3,0.11,3.430584597,0.586584591,0.732843566,0.732843566
2,0.7,3,0.12,2.59174738,0.003918623,0.565381493,0.565381493
2,0.85,3,0.09,3.774048344,0.722560229,0.791489554,0.791489554
2,0.85,3,0.115,3.271314653,0.599896173,0.727633824,0.727633824
2,0.85,3,0.11,3.369458893,0.645524039,0.743633174,0.743633174
2,0.85,3,0.12,3.14030251,0.575130699,0.709108646,0.709108646
2,0.925,3,0.09,3.658735044,0.819668078,0.800178225,0.800178225
2,0.925,3,0.115,3.1946187,0.690133775,0.740791595,0.740791595
2,0.925,3,0.12,3.059233553,0.654794226,0.720662617,0.720662617
2,1,3,0.09,3.638815165,0.863516699,0.819556757,0.819556757
2,1,3,0.115,3.248718851,0.704799568,0.763537279,0.763537279
2,1,3,0.11,3.314248343,0.769654615,0.778641544,0.778641544
2,1,3,0.12,3.158009659,0.709624869,0.75331099,0.75331099
3,0.3334,3,0.09,4.426263146,0.748741126,0.653694883,1.036081876
3,0.3334,3,0.115,2.321492455,0.000127257,0.373946028,0.592690431
3,0.3334,3,0.11,2.53637294,1.68E-06,0.398160466,0.631069408
3,0.3334,3,0.12,2.124980633,7.93E-06,0.350861196,0.556101839
3,0.42,3,0.09,4.457267845,0.739135468,0.656621143,1.040719889
3,0.42,3,0.115,2.369182638,1.82E-05,0.379541184,0.601558544
3,0.42,3,0.11,2.512907233,0.000582438,0.395755844,0.627258172
3,0.42,3,0.12,2.120863989,3.28E-06,0.350390598,0.555355958
3,0.5,3,0.09,4.433288989,0.786758783,0.661276854,1.048099016
3,0.5,3,0.115,2.369682871,0.000167574,0.379460018,0.601429899
3,0.5,3,0.11,2.525734127,0.000287309,0.397113248,0.629409607
3,0.5,3,0.12,2.109102281,9.44E-07,0.348966763,0.553099233
3,0.6,3,0.09,4.435331365,0.863409657,0.673499458,1.067471386
3,0.6,3,0.115,2.300388049,0.001095437,0.371613671,0.588993734
3,0.6,3,0.11,2.490942294,0.002553275,0.393153661,0.62313381
3,0.6,3,0.12,2.083910585,3.00E-07,0.345962479,0.548337556
3,0.775,3,0.09,4.334153144,0.935370095,0.687081465,1.088998358
3,0.775,3,0.115,2.439314776,2.78E-06,0.387326458,0.613897912
3,0.775,3,0.11,3.178036751,0.417126926,0.516280714,0.818285571
3,0.775,3,0.12,2.211800479,0.000135758,0.361055542,0.572259495
3,0.7,3,0.09,4.352483354,0.916537251,0.678884102,1.076005843
3,0.7,3,0.11,2.532130237,7.27E-05,0.397613561,0.630202584
3,0.7,3,0.12,2.11202157,0.000525977,0.349435418,0.553842035
3,0.85,3,0.09,4.242070559,1.052004628,0.700267944,1.109898432
3,0.85,3,0.115,3.074512044,0.507516547,0.522085567,0.827486046
3,0.85,3,0.11,3.426971029,0.614849522,0.573749879,0.909372043
3,0.85,3,0.12,2.129117105,0.000996432,0.351249932,0.55671797
3,0.925,3,0.09,4.189288751,1.059504053,0.711805008,1.128184246
3,0.925,3,0.115,3.232309173,0.653526289,0.568938101,0.901745556
3,0.925,3,0.11,3.471526071,0.786587608,0.611160829,0.968666996
3,0.925,3,0.12,3.188213352,0.624859736,0.560349778,0.888133386
3,1,3,0.09,4.28755007,1.196373453,0.754272956,1.195494351
3,1,3,0.115,3.650995468,0.833801124,0.649225496,1.028998065
3,1,3,0.11,3.847304256,0.957894325,0.685662992,1.08675013
3,1,3,0.12,3.468969165,0.798989867,0.623349046,0.987984862
4,0.25,3,0.09,2.808128333,6.76E-05,0.331478941,0.662957881
4,0.25,3,0.115,0.952836175,5.20E-05,0.139270623,0.278541247
4,0.25,3,0.11,1.316336374,2.40E-05,0.179900632,0.359801264
4,0.25,3,0.12,0.797526195,1.23E-05,0.121022479,0.242044959
4,0.29,3,0.09,2.807316756,1.88E-06,0.331413645,0.662827289
4,0.29,3,0.115,0.926861662,1.73E-05,0.136257141,0.272514282
4,0.29,3,0.11,1.268086298,4.80E-07,0.174549107,0.349098214
4,0.3334,3,0.09,2.832864923,8.35E-06,0.333746761,0.667493523
4,0.3334,3,0.11,1.262244513,2.04E-07,0.173954748,0.347909495
4,0.3334,3,0.12,0.794389894,1.28E-06,0.120628943,0.241257887
4,0.42,3,0.09,2.764070232,8.18E-05,0.327585857,0.655171713
4,0.42,3,0.11,1.401144428,5.05E-06,0.189222405,0.378444811
4,0.42,3,0.12,0.801720499,1.10E-05,0.121553943,0.243107885
4,0.5,3,0.09,2.814767268,0.001985809,0.332166043,0.664332086
4,0.5,3,0.115,0.981011458,1.70E-05,0.142375266,0.284750533
4,0.5,3,0.11,1.297725125,0.000153346,0.177837518,0.355675036
4,0.5,3,0.12,0.820059356,3.09E-06,0.12364301,0.24728602
4,0.6,3,0.09,2.722999494,0.000111574,0.323918399,0.647836797
4,0.6,3,0.115,0.931913131,4.45E-06,0.136983835,0.273967669
4,0.6,3,0.11,1.340910061,0.000153386,0.18258043,0.36516086
4,0.6,3,0.12,0.815085001,1.54E-05,0.123237305,0.246474611
4,0.775,3,0.09,4.332562794,0.897434259,0.565368918,1.130737836
4,0.775,3,0.115,0.913195275,0.000572103,0.134626277,0.269252554
4,0.775,3,0.11,1.2071834,0.000189853,0.167851014,0.335702028
4,0.775,3,0.12,0.804588853,6.39E-05,0.121988855,0.24397771
4,0.7,3,0.09,4.222481933,0.76655287,0.534532208,1.069064416
4,0.7,3,0.12,0.829071234,0.0001128,0.124734268,0.249468537
4,0.85,3,0.09,4.418937854,1.028767837,0.595857957,1.191715914
4,0.85,3,0.115,0.986530112,0.000357218,0.143336871,0.286673743
4,0.85,3,0.11,1.274203404,6.70E-05,0.175581939,0.351163877
4,0.85,3,0.12,0.796005333,2.69E-06,0.120986437,0.241972874
4,0.925,3,0.09,4.427723258,1.106243165,0.619500235,1.23900047
4,0.925,3,0.115,0.930702425,3.34E-06,0.136378645,0.27275729
4,0.925,3,0.11,1.374543221,4.66E-05,0.186058708,0.372117416
4,0.925,3,0.12,0.821725857,8.31E-05,0.124152117,0.248304234
4,1,3,0.09,4.661254104,1.281529772,0.674943426,1.349886853
4,1,3,0.11,3.77980965,0.726115566,0.529991983,1.059983966
